9,9,9,9,9,9,9,9,9,9,9,9,9,9,24,25,25,25,25,25,25,25,25,25,25,25
17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,35,36,-1,-1,36,37,0,2,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,0,9,10,-1,-1,-1,-1,-1,-1,16,18,-1,-1,-1
20,-1,-1,-1,-1,-1,48,49,48,-1,-1,0,9,9,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
1,1,1,1,1,1,1,1,1,1,1,42,9,9,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16
9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,13,31,31,31,31,31,31,-1,-1,-1,-1
9,9,9,9,9,9,9,9,9,9,9,9,9,9,40,1,1,1,1,1,1,1,2,-1,-1,-1
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,40,1,1,1
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
